oid,TableID,ParentTableID,ChildTableID,Name,UserName,ParentTableName,ParentTableUserName,ChildTableName,ChildTableUsername,Description,Namespace,DateCreated,DateModified,IsDeleted,Author
649339c0-9991-4456-84d0-89646515d702,649339c0-9991-4456-84d0-89646515d702,00000000-0000-0000-0000-000000000000,,CivilObjectType,,,,,,,REFDAT,,,False,
deb07744-de95-47bb-8c96-898eab0a90e8,deb07744-de95-47bb-8c96-898eab0a90e8,00000000-0000-0000-0000-000000000000,,Cable insulation material,,,,,,,EF,,,False,
2991a1ab-a3a8-4713-a720-89c551da6080,2991a1ab-a3a8-4713-a720-89c551da6080,00000000-0000-0000-0000-000000000000,,ObjectTypes,,,,,,,PLANNG,,,False,
c0d26059-2f01-41aa-876d-89d2596c94e3,c0d26059-2f01-41aa-876d-89d2596c94e3,00000000-0000-0000-0000-000000000000,,LineExtend_Errors,,,,,,,UDP,Dec 18 2008  3:46PM,Dec 18 2008  3:46PM,False,INGRNET\SP3DTEST
d9b43879-caf4-4313-ba8c-89fdcc7cd5a6,d9b43879-caf4-4313-ba8c-89fdcc7cd5a6,00000000-0000-0000-0000-000000000000,,WasherOption,,,,,,,REFDAT,,,False,
642d9769-7a18-4369-b24b-89feddedf1ca,642d9769-7a18-4369-b24b-89feddedf1ca,00000000-0000-0000-0000-000000000000,,SMTemplateMarkingPlateBCL,,,,,,,UDP,Nov  5 2013  8:33PM,Nov  5 2013  8:33PM,False,INGRNET\sp3dadminuser1
c870fb02-cbe2-469e-8689-8a5f39e94a0f,c870fb02-cbe2-469e-8689-8a5f39e94a0f,00000000-0000-0000-0000-000000000000,,SMCustomWarningMessages,,,,,,,STRMFG,,,False,
4b28e184-7d95-448c-9d75-8acdfcdba6dd,4b28e184-7d95-448c-9d75-8acdfcdba6dd,00000000-0000-0000-0000-000000000000,,ErrorStructGeometryCES,,,,,,,CMNSTR,,,False,
42024045-3b21-4f42-b6f5-8ad03abe700f,42024045-3b21-4f42-b6f5-8ad03abe700f,00000000-0000-0000-0000-000000000000,,CSByCS_TrackFlagVal,,,,,,,UDP,Aug 25 2011 10:23PM,Aug 25 2011 10:23PM,False,INGRNET\sp3dadminuser1
dfdb0302-f3f6-460f-b521-8ade04e67362,dfdb0302-f3f6-460f-b521-8ade04e67362,2ab8e35b-d43f-44c4-a638-f2f55704942e,4ea04b13-f584-40fe-8802-0f12f0bc77e7,GasketManufacturer,,GasketManufacturerIndustryPractice,,GasketStyleNumber,,,REFDAT,,,False,
f7f85041-aa92-43f5-990c-8ae3b764efa0,f7f85041-aa92-43f5-990c-8ae3b764efa0,00000000-0000-0000-0000-000000000000,,RingPlate2n_CategoryVal,,,,,,,UDP,Nov  5 2013  8:18PM,Nov  5 2013  8:18PM,False,INGRNET\sp3dadminuser1
87987efa-da10-4021-9bbf-8af634b329c9,87987efa-da10-4021-9bbf-8af634b329c9,00000000-0000-0000-0000-000000000000,,SMPlateMarkingFeatureTab2,,,,,,,UDP,Nov  5 2013  8:33PM,Nov  5 2013  8:33PM,False,INGRNET\sp3dadminuser1
a1ccee0d-e3aa-426a-b729-8b1c46fbed14,a1ccee0d-e3aa-426a-b729-8b1c46fbed14,00000000-0000-0000-0000-000000000000,,StiffenerOffsetMethod,,,,,,,STRUCT,,,False,
34335752-ff98-4321-a227-8b282929bc7e,34335752-ff98-4321-a227-8b282929bc7e,00000000-0000-0000-0000-000000000000,,InsulationThicknessBasis,,,,,,,UDP,Dec 18 2008  3:15PM,Jul 23 2013  6:19PM,False,INGRNET\sp3dadminuser1
49eaf417-bb43-4ed8-ab1e-8b92e37a2c5b,49eaf417-bb43-4ed8-ab1e-8b92e37a2c5b,00000000-0000-0000-0000-000000000000,,Electric element heater classification,,,,,,,EF,,,False,
1f3b3522-2027-49a2-bff8-8b975e51ff52,1f3b3522-2027-49a2-bff8-8b975e51ff52,00000000-0000-0000-0000-000000000000,,StructRefCurveType,,,,,,,STRUCT,,,False,
cd42a9da-a15a-4861-9d7c-8bb7492147db,cd42a9da-a15a-4861-9d7c-8bb7492147db,00000000-0000-0000-0000-000000000000,,HngSupSupportDirection,,,,,,,HNGSUP,,,False,
